customerId,customerName,address,email,phoneNumber,creditLimit,customerType,activeStatus,remarks
71,Moll Overnell,Mencon,movernell1y@abc.net.au,588-504-3001,16280,SILVER,false,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam."
72,Fritz Evans,Dungang,fevans1z@amazon.co.jp,339-110-7940,35711,BRONZE,true,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus."
73,Ransell Pevsner,Llauta,rpevsner20@phoca.cz,921-525-6257,16201,PLATINUM,false,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
74,Debbie Walkey,San Emilio,dwalkey21@dailymotion.com,994-233-4304,37000,BRONZE,true,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.
75,Bernelle De Atta,Yarīm,bde22@google.nl,336-736-5729,17409,GOLD,true,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.
76,Peyter Lowthian,Indralayang,plowthian23@t-online.de,579-605-6767,25212,PLATINUM,false,Fusce consequat. Nulla nisl. Nunc nisl.
77,Jacklin Giannazzi,Qinglong,jgiannazzi24@time.com,882-643-6899,44402,PLATINUM,false,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis."
78,Wolfy Woolland,Brandsen,wwoolland25@fotki.com,139-488-4928,43221,BRONZE,true,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.
79,Waldemar Costan,Portsmouth,wcostan26@webeden.co.uk,136-686-0356,23834,GOLD,true,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam."
80,Anett Di Filippo,Ráquira,adi27@studiopress.com,387-579-8996,17706,SILVER,true,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.
81,Myrlene Munning,Alasmalang,mmunning28@livejournal.com,662-387-9557,33903,SILVER,false,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.
82,Myrtia Paradise,Mishan,mparadise29@craigslist.org,323-638-2901,26590,GOLD,false,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.
83,Dallon Lorenzin,Kibara,dlorenzin2a@microsoft.com,436-567-4067,12497,BRONZE,false,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
84,Bert Illyes,Dagohoy,billyes2b@state.tx.us,223-451-8924,44526,BRONZE,true,Sed ante. Vivamus tortor. Duis mattis egestas metus.
85,Fowler Valler,Bungalaleng,fvaller2c@surveymonkey.com,438-837-0295,34733,BRONZE,false,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam."
86,Kathye Gosselin,Sukawaris,kgosselin2d@google.ru,544-550-2030,40513,BRONZE,true,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo."
87,Bink Fourcade,Tarbes,bfourcade2e@hibu.com,764-736-7849,48916,PLATINUM,false,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.
88,Ingeborg Follos,Drenova,ifollos2f@amazon.co.uk,497-485-9002,12346,BRONZE,true,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
89,Heinrik Hammerstone,Ciudian,hhammerstone2g@wufoo.com,873-829-3588,49935,BRONZE,false,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.
90,Wileen Straker,Xing’an,wstraker2h@jugem.jp,725-997-9676,11215,BRONZE,true,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.
91,Dulcea Sherston,Chichaoua,dsherston2i@netscape.com,280-549-8791,38843,PLATINUM,false,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.
92,Dilan Camfield,Jubaoshan,dcamfield2j@squarespace.com,653-702-1880,47208,PLATINUM,false,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
93,Marleah Greedier,Pirapozinho,mgreedier2k@shutterfly.com,965-402-2072,30344,BRONZE,false,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.
94,Sibbie Proctor,Armopa,sproctor2l@nhs.uk,499-199-6937,23540,GOLD,false,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
95,Rodolphe Glowach,Laixi,rglowach2m@dmoz.org,210-857-8838,25446,BRONZE,true,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
96,Sibbie O'Carrol,Kalnibolotskaya,socarrol2n@weebly.com,939-473-0881,48714,SILVER,true,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
97,Leona Pierce,Quaraí,lpierce2o@utexas.edu,444-471-3357,30427,GOLD,false,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam."
98,Egan Nisen,Orléans,enisen2p@netvibes.com,151-144-0370,30234,SILVER,true,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
99,Ameline Secretan,El Águila,asecretan2q@usgs.gov,521-838-5457,28461,PLATINUM,true,Fusce consequat. Nulla nisl. Nunc nisl.
100,Elvis MacCard,Sanana,emaccard2r@squidoo.com,775-681-2347,13659,BRONZE,true,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
